scope,dataset,model,fold,true_class,predicted_Fresh,predicted_Sub-fresh,predicted_Spoiled
cross_validation,beef,Tiny-MLP,1,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,2,Fresh,27,3,0
cross_validation,beef,Tiny-MLP,2,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,2,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,3,Fresh,29,1,0
cross_validation,beef,Tiny-MLP,3,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,3,Spoiled,2,0,28
cross_validation,beef,Tiny-MLP,4,Fresh,30,0,0
cross_validation,beef,Tiny-MLP,4,Sub-fresh,0,10,0
cross_validation,beef,Tiny-MLP,4,Spoiled,1,1,28
cross_validation,pork,EfficientNet-Lite0,1,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,1,Sub-fresh,1,9,0
cross_validation,pork,EfficientNet-Lite0,1,Spoiled,0,4,16
cross_validation,pork,EfficientNet-Lite0,2,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,2,Sub-fresh,2,6,2
cross_validation,pork,EfficientNet-Lite0,2,Spoiled,0,0,20
cross_validation,pork,EfficientNet-Lite0,3,Fresh,40,0,0
cross_validation,pork,EfficientNet-Lite0,3,Sub-fresh,0,10,0
cross_validation,pork,EfficientNet-Lite0,3,Spoiled,0,1,19
cross_validation,pork,EfficientNet-Lite0,4,Fresh,39,1,0
cross_validation,pork,EfficientNet-Lite0,4,Sub-fresh,0,9,1
cross_validation,pork,EfficientNet-Lite0,4,Spoiled,0,3,17
cross_validation,pork,MobileNetV3-Small,1,Fresh,38,2,0
cross_validation,pork,MobileNetV3-Small,1,Sub-fresh,2,7,1
cross_validation,pork,MobileNetV3-Small,1,Spoiled,0,1,19
cross_validation,pork,MobileNetV3-Small,2,Fresh,37,3,0
cross_validation,pork,MobileNetV3-Small,2,Sub-fresh,0,8,2
cross_validation,pork,MobileNetV3-Small,2,Spoiled,0,3,17
cross_validation,pork,MobileNetV3-Small,3,Fresh,40,0,0
cross_validation,pork,MobileNetV3-Small,3,Sub-fresh,0,9,1
cross_validation,pork,MobileNetV3-Small,3,Spoiled,0,3,17
cross_validation,pork,MobileNetV3-Small,4,Fresh,40,0,0
cross_validation,pork,MobileNetV3-Small,4,Sub-fresh,3,4,3
cross_validation,pork,MobileNetV3-Small,4,Spoiled,2,1,17
cross_validation,pork,ShuffleNetV2-0.5x,1,Fresh,40,0,0
cross_validation,pork,ShuffleNetV2-0.5x,1,Sub-fresh,0,10,0
cross_validation,pork,ShuffleNetV2-0.5x,1,Spoiled,0,5,15
cross_validation,pork,ShuffleNetV2-0.5x,2,Fresh,40,0,0
cross_validation,pork,ShuffleNetV2-0.5x,2,Sub-fresh,3,5,2
cross_validation,pork,ShuffleNetV2-0.5x,2,Spoiled,0,2,18
cross_validation,pork,ShuffleNetV2-0.5x,3,Fresh,40,0,0
cross_validation,pork,ShuffleNetV2-0.5x,3,Sub-fresh,0,10,0
cross_validation,pork,ShuffleNetV2-0.5x,3,Spoiled,0,0,20
